photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Deciduous,Notes
11826170,Lathyrus latifolius,0,https://www.inaturalist.org/photos/11826170,9,159,1,1,-105.31,40.69,0,
142456464,NA,0,https://www.inaturalist.org/photos/142456464,7,160,1,2,-105.3,40.65,1,Willow
325585820,Rubus deliciosus,0,https://www.inaturalist.org/photos/325585820,10,161,0,NA,-105.19,40.57,0,Shrub
142444680,Prunus virginiana,0,https://www.inaturalist.org/photos/142444680,7,162,1,2,-105.3,40.64,1,
214229950,Apocynum androsaemifolium,0,https://www.inaturalist.org/photos/214229950,7,163,NA,NA,-105.54,40.75,0,Shrub
426493267,Jamesia americana,0,https://www.inaturalist.org/photos/426493267,8,164,0,3,-105.52,40.66,0,Shrub
56298683,NA,0,https://www.inaturalist.org/photos/56298683,10,165,1,1,-105.38,40.7,1,
4557186,Acer glabrum,0,https://www.inaturalist.org/photos/4557186,8,166,1,1,-105.19,40.58,1,
44243972,Alnus incana,0,https://www.inaturalist.org/photos/44243972,7,167,0,2,-105.47,40.68,1,Alder
56644601,Artemisia frigida,0,https://www.inaturalist.org/photos/56644601,10,168,1,2,-105.28,40.69,0,Sagebrush
234287514,Abietinella abietina,0,https://www.inaturalist.org/photos/234287514,5,169,0,1,-105.24,40.7,0,Likely shrub
161642435,NA,0,https://www.inaturalist.org/photos/161642435,9,170,1,2,-105.49,40.68,0,
27853463,Saponaria officinalis,0,https://www.inaturalist.org/photos/27853463,9,171,1,1,-105.31,40.69,0,
375814422,Cyanocitta stelleri,0,https://www.inaturalist.org/photos/375814422,3,172,1,1,-105.19,40.58,0,
75779318,Primula pauciflora,0,https://www.inaturalist.org/photos/75779318,5,173,0,NA,-105.47,40.69,0,Likely shrub
236647897,Pinus ponderosa,0,https://www.inaturalist.org/photos/236647897,10,174,1,1,-105.19,40.58,0,Likely shrub
237418506,Vitis riparia,0,https://www.inaturalist.org/photos/237418506,10,175,NA,1,-105.18,40.58,0,
151104835,Calvatia booniana,0,https://www.inaturalist.org/photos/151104835,8,176,NA,NA,-105.54,40.75,1,Willow
146136434,NA,0,https://www.inaturalist.org/photos/146136434,7,177,1,4,-105.52,40.62,0,Shrub
42961285,Rumex venosus,0,https://www.inaturalist.org/photos/42961285,6,178,0,1,-105.24,40.7,0,
401461612,NA,0,https://www.inaturalist.org/photos/401461612,6,179,0,1,-105.47,40.58,0,
288617246,NA,0,https://www.inaturalist.org/photos/288617246,6,180,0,NA,-105.54,40.7,0,
323668275,Toxicodendron rydbergii,0,https://www.inaturalist.org/photos/323668275,9,181,1,3,-105.29,40.68,0,
232756143,Populus tremuloides,0,https://www.inaturalist.org/photos/232756143,9,182,1,4,-105.35,40.66,1,
46217154,Prunus virginiana,0,https://www.inaturalist.org/photos/46217154,7,183,NA,1,-105.18,40.59,0,Tree too big to be postfire
83988069,Robinia neomexicana,0,https://www.inaturalist.org/photos/83988069,7,184,1,1,-105.31,40.69,1,
19293281,Ribes aureum,0,https://www.inaturalist.org/photos/19293281,5,185,1,1,-105.31,40.71,0,Shrub
