photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Coniferous,Notes
404296232,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/404296232,7,146,1,2,-105.35,40.68,0,
222518321,Juniperus communis,0,https://www.inaturalist.org/photos/222518321,8,147,1,2,-105.41,40.63,0,Juniper
4981873,Pinus ponderosa,0,https://www.inaturalist.org/photos/4981873,7,148,0,1,-105.18,40.59,0,
234421439,Pinus ponderosa,0,https://www.inaturalist.org/photos/234421439,9,149,1,1,-105.35,40.69,0,
234815029,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/234815029,9,150,1,2,-105.35,40.68,0,
234594223,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/234594223,9,151,1,1,-105.35,40.69,1,
331485685,NA,0,https://www.inaturalist.org/photos/331485685,10,152,0,1,-105.18,40.58,1,
231241765,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/231241765,9,153,0,1,-105.48,40.68,0,"Possible, could not confirm seedlings"
207857647,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/207857647,6,154,1,2,-105.33,40.69,1,"Possible, likely seedlings"
235561421,Secale cereale,0,https://www.inaturalist.org/photos/235561421,10,155,0,1,-105.24,40.7,1,
318246193,Setophaga townsendi,0,https://www.inaturalist.org/photos/318246193,9,156,1,1,-105.19,40.58,0,
75779318,Primula pauciflora,0,https://www.inaturalist.org/photos/75779318,5,157,0,NA,-105.47,40.69,1,"Possible, likely seedlings"
68129667,Picea pungens,0,https://www.inaturalist.org/photos/68129667,4,158,0,NA,-105.54,40.75,0,
234594390,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/234594390,9,159,1,1,-105.35,40.69,0,
196108523,Pinus edulis,0,https://www.inaturalist.org/photos/196108523,5,160,0,1,-105.24,40.7,0,"Possible, could not confirm seedlings"
153714902,Pinus ponderosa,0,https://www.inaturalist.org/photos/153714902,8,161,0,NA,-105.19,40.57,0,
10675100,Pinus contorta,0,https://www.inaturalist.org/photos/10675100,9,162,0,NA,-105.19,40.57,1,
351669794,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/351669794,2,163,0,1,-105.29,40.7,0,"Possible, could not confirm seedlings"
343780102,Pinus ponderosa,0,https://www.inaturalist.org/photos/343780102,12,164,1,1,-105.31,40.7,0,
343784126,NA,0,https://www.inaturalist.org/photos/343784126,12,165,1,1,-105.29,40.69,0,
326763479,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/326763479,10,166,1,2,-105.49,40.68,1,"Possible, likely seedlings"
182609743,NA,0,https://www.inaturalist.org/photos/182609743,3,167,0,NA,-105.19,40.57,0,
363036782,Pinus ponderosa,0,https://www.inaturalist.org/photos/363036782,4,168,0,NA,-105.18,40.57,0,
395907156,NA,0,https://www.inaturalist.org/photos/395907156,6,169,0,1,-105.19,40.59,0,"Possible, could not confirm seedlings"
129872269,NA,0,https://www.inaturalist.org/photos/129872269,5,170,0,1,-105.18,40.58,0,
425180359,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/425180359,6,171,0,1,-105.24,40.7,1,
413243125,Erigeron canadensis,0,https://www.inaturalist.org/photos/413243125,7,172,1,1,-105.19,40.58,1,
237534590,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/237534590,10,173,0,NA,-105.18,40.57,0,
331485682,NA,0,https://www.inaturalist.org/photos/331485682,10,174,0,1,-105.18,40.58,1,
425180378,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/425180378,6,175,0,1,-105.24,40.7,0,
234594567,Juniperus communis,0,https://www.inaturalist.org/photos/234594567,9,176,1,1,-105.35,40.69,0,Juniper
399952552,Scutellaria brittonii,0,https://www.inaturalist.org/photos/399952552,6,177,0,NA,-105.18,40.57,0,
343780354,Pinus ponderosa,0,https://www.inaturalist.org/photos/343780354,12,178,1,1,-105.31,40.7,0,
379165696,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/379165696,5,179,1,4,-105.41,40.62,0,"Possible, could not confirm seedlings"
404296279,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/404296279,7,180,1,2,-105.35,40.68,0,"Possible, could not confirm seedlings"
152626332,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/152626332,8,181,0,NA,-105.19,40.57,1,
404354973,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/404354973,7,182,1,1,-105.19,40.58,0,
56644601,Artemisia frigida,0,https://www.inaturalist.org/photos/56644601,10,183,1,2,-105.28,40.69,0,
27920576,Symphyotrichum ericoides,0,https://www.inaturalist.org/photos/27920576,9,184,1,1,-105.31,40.69,0,
363036731,Pinus ponderosa,0,https://www.inaturalist.org/photos/363036731,4,185,0,NA,-105.18,40.57,0,"Possible, could not confirm seedlings"
121838065,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/121838065,4,186,1,3,-105.5,40.67,0,
152626265,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/152626265,8,187,0,NA,-105.19,40.57,0,
237458241,Cyanocitta stelleri,0,https://www.inaturalist.org/photos/237458241,10,188,1,1,-105.19,40.58,0,
231241037,Achillea millefolium,0,https://www.inaturalist.org/photos/231241037,9,189,0,1,-105.48,40.68,0,
343779412,NA,0,https://www.inaturalist.org/photos/343779412,12,190,1,1,-105.31,40.7,0,
196108574,Pinus edulis,0,https://www.inaturalist.org/photos/196108574,5,191,0,1,-105.24,40.7,0,
10675107,Pinus contorta,0,https://www.inaturalist.org/photos/10675107,9,192,0,NA,-105.19,40.57,1,
74610087,Pinus ponderosa,0,https://www.inaturalist.org/photos/74610087,5,193,1,1,-105.19,40.58,1,
155287412,Juniperus communis,0,https://www.inaturalist.org/photos/155287412,9,194,0,NA,-105.54,40.69,0,
237458244,Cyanocitta stelleri,0,https://www.inaturalist.org/photos/237458244,10,195,1,1,-105.19,40.58,0,
307600659,Selasphorus platycercus,0,https://www.inaturalist.org/photos/307600659,8,196,0,1,-105.18,40.59,0,
307600563,Selasphorus platycercus,0,https://www.inaturalist.org/photos/307600563,8,197,0,1,-105.18,40.59,0,
213249162,NA,0,https://www.inaturalist.org/photos/213249162,7,198,1,2,-105.46,40.68,0,
155063642,NA,0,https://www.inaturalist.org/photos/155063642,7,199,0,NA,-105.19,40.57,0,"Possible, could not confirm seedlings"
267955220,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/267955220,4,200,0,1,-105.24,40.7,0,
